idSucursal;idTipoPaquete;Servicio Cable;Fibra optica;Servicio Internet;Servicio Telefonía;PP Paquete;PN Paquete;Tarifa Promocional;SIMETRÍA;internet_promo;internet_promo_temp;tar_promocional_temp;QUERY
1;2;2;;60;1;$600;$650;450;0;120;6;6;(NULL, '1', '2', '2', '', '60', '1', '600', '650', '0', '120', '6', '450', '1', current_timestamp()),
1;2;2;;100;1;$700;$750;550;0;200;6;6;(NULL, '1', '2', '2', '', '100', '1', '700', '750', '0', '200', '6', '550', '1', current_timestamp()),
1;2;2;;250;1;$800;$850;650;0;500;6;6;(NULL, '1', '2', '2', '', '250', '1', '800', '850', '0', '500', '6', '650', '1', current_timestamp()),
1;2;2;;500;1;$900;$950;750;0;1000;6;6;(NULL, '1', '2', '2', '', '500', '1', '900', '950', '0', '1000', '6', '750', '1', current_timestamp()),
1;3;0;;60;1;$450;$500;300;0;120;6;6;(NULL, '1', '3', '0', '', '60', '1', '450', '500', '0', '120', '6', '300', '1', current_timestamp()),
1;3;0;;100;1;$550;$600;400;0;200;6;6;(NULL, '1', '3', '0', '', '100', '1', '550', '600', '0', '200', '6', '400', '1', current_timestamp()),
1;3;0;;250;1;$650;$700;500;0;500;6;6;(NULL, '1', '3', '0', '', '250', '1', '650', '700', '0', '500', '6', '500', '1', current_timestamp()),
1;3;0;;500;1;$750;$800;600;0;1000;6;6;(NULL, '1', '3', '0', '', '500', '1', '750', '800', '0', '1000', '6', '600', '1', current_timestamp()),
1;3;0;;60;1;$500;$600;0;1;;;;(NULL, '1', '3', '0', '', '60', '1', '500', '600', '1', '', '', '0', '1', current_timestamp()),
1;3;0;;100;1;$600;$700;0;1;;;;(NULL, '1', '3', '0', '', '100', '1', '600', '700', '1', '', '', '0', '1', current_timestamp()),
1;3;0;;250;1;$700;$800;0;1;;;;(NULL, '1', '3', '0', '', '250', '1', '700', '800', '1', '', '', '0', '1', current_timestamp()),
1;3;0;;500;1;$800;$900;0;1;;;;(NULL, '1', '3', '0', '', '500', '1', '800', '900', '1', '', '', '0', '1', current_timestamp()),
