idSucursal;idTipoPaquete;idServicioCable;fibraOptica;velocidadInternet;telefonia;precioPromoPaquete;precioNormalPaquete;tarifaPromocional;simetria;velocidadPromo;tiempoVelocidadPromo
1;2;2;;60;1;$600;$650;450;0;120;6
1;2;2;;100;1;$700;$750;550;0;200;6
1;2;2;;250;1;$800;$850;650;0;500;6
1;2;2;;500;1;$900;$950;750;0;1000;6
1;3;0;;60;1;$450;$500;300;0;120;6
1;3;0;;100;1;$550;$600;400;0;200;6
1;3;0;;250;1;$650;$700;500;0;500;6
1;3;0;;500;1;$750;$800;600;0;1000;6
1;3;0;;60;1;$500;$600;0;1;;
1;3;0;;100;1;$600;$700;0;1;;
1;3;0;;250;1;$700;$800;0;1;;
1;3;0;;500;1;$800;$900;0;1;;
1;2;2;;60;1;$650;$750;;1;;
1;2;2;;100;1;$750;$850;;1;;
1;2;2;;250;1;$850;$950;;1;;
1;2;2;;500;1;$950;$1.050;;1;;
1;1;1;;1000;1;$1.000;$1.100;;0;;
2;2;2;;60;1;$600;$650;450;0;120;6
2;2;2;;100;1;$700;$750;550;0;200;6
2;2;2;;250;1;$800;$850;650;0;500;6
2;2;2;;500;1;$900;$950;750;0;1000;6
2;3;0;;60;1;$450;$500;300;0;120;6
2;3;0;;100;1;$550;$600;400;0;200;6
2;3;0;;250;1;$650;$700;500;0;500;6
2;3;0;;500;1;$750;$800;600;0;1000;6
2;3;0;;60;1;$500;$600;0;1;;
2;3;0;;100;1;$600;$700;0;1;;
2;3;0;;250;1;$700;$800;0;1;;
2;3;0;;500;1;$800;$900;0;1;;
2;2;2;;60;1;$650;$750;;1;;
2;2;2;;100;1;$750;$850;;1;;
2;2;2;;250;1;$850;$950;;1;;
2;2;2;;500;1;$950;$1.050;;1;;
2;1;1;;1000;1;$1.000;$1.100;;0;;
3;2;2;;60;1;$600;$650;450;0;120;6
3;2;2;;100;1;$700;$750;550;0;200;6
3;2;2;;250;1;$800;$850;650;0;500;6
3;2;2;;500;1;$900;$950;750;0;1000;6
3;3;0;;60;1;$450;$500;300;0;120;6
3;3;0;;100;1;$550;$600;400;0;200;6
3;3;0;;250;1;$650;$700;500;0;500;6
3;3;0;;500;1;$750;$800;600;0;1000;6
3;3;0;;60;1;$500;$600;0;1;;
3;3;0;;100;1;$600;$700;0;1;;
3;3;0;;250;1;$700;$800;0;1;;
3;3;0;;500;1;$800;$900;0;1;;
3;2;2;;60;1;$650;$750;;1;;
3;2;2;;100;1;$750;$850;;1;;
3;2;2;;250;1;$850;$950;;1;;
3;2;2;;500;1;$950;$1.050;;1;;
3;1;1;;1000;1;$1.000;$1.100;;0;;
4;2;2;;60;1;$600;$650;450;0;120;6
4;2;2;;100;1;$700;$750;550;0;200;6
4;2;2;;250;1;$800;$850;650;0;500;6
4;2;2;;500;1;$900;$950;750;0;1000;6
4;3;0;;60;1;$450;$500;300;0;120;6
4;3;0;;100;1;$550;$600;400;0;200;6
4;3;0;;250;1;$650;$700;500;0;500;6
4;3;0;;500;1;$750;$800;600;0;1000;6
4;3;0;;60;1;$500;$600;0;1;;
4;3;0;;100;1;$600;$700;0;1;;
4;3;0;;250;1;$700;$800;0;1;;
4;3;0;;500;1;$800;$900;0;1;;
4;2;2;;60;1;$650;$750;;1;;
4;2;2;;100;1;$750;$850;;1;;
4;2;2;;250;1;$850;$950;;1;;
4;2;2;;500;1;$950;$1.050;;1;;
4;1;1;;1000;1;$1.000;$1.100;;0;;
5;3;0;;60;1;$450;$500;300;0;120;6
5;2;2;;60;1;$550;$600;400;0;120;6
6;2;2;;60;1;$600;$650;450;0;120;6
6;2;2;;100;1;$700;$750;550;0;200;6
6;2;2;;250;1;$800;$850;650;0;500;6
6;2;2;;500;1;$900;$950;750;0;1000;6
6;3;0;;60;1;$450;$500;300;0;120;6
6;3;0;;100;1;$550;$600;400;0;200;6
6;3;0;;250;1;$650;$700;500;0;500;6
6;3;0;;500;1;$750;$800;600;0;1000;6
6;3;0;;60;1;$500;$600;0;1;;
6;3;0;;100;1;$600;$700;0;1;;
6;3;0;;250;1;$700;$800;0;1;;
6;3;0;;500;1;$800;$900;0;1;;
6;2;2;;60;1;$650;$750;;1;;
6;2;2;;100;1;$750;$850;;1;;
6;2;2;;250;1;$850;$950;;1;;
6;2;2;;500;1;$950;$1.050;;1;;
6;1;1;;1000;1;$1.000;$1.100;;0;;
7;2;2;;60;1;$600;$650;450;0;120;6
7;2;2;;100;1;$700;$750;550;0;200;6
7;2;2;;250;1;$800;$850;650;0;500;6
7;2;2;;500;1;$900;$950;750;0;1000;6
7;3;0;;60;1;$450;$500;300;0;120;6
7;3;0;;100;1;$550;$600;400;0;200;6
7;3;0;;250;1;$650;$700;500;0;500;6
7;3;0;;500;1;$750;$800;600;0;1000;6
7;3;0;;60;1;$500;$600;0;1;;
7;3;0;;100;1;$600;$700;0;1;;
7;3;0;;250;1;$700;$800;0;1;;
7;3;0;;500;1;$800;$900;0;1;;
7;2;2;;60;1;$650;$750;;1;;
7;2;2;;100;1;$750;$850;;1;;
7;2;2;;250;1;$850;$950;;1;;
7;2;2;;500;1;$950;$1.050;;1;;
7;1;1;;1000;1;$1.000;$1.100;;0;;
8;2;2;;60;1;$600;$650;450;0;120;6
8;2;2;;100;1;$700;$750;550;0;200;6
8;2;2;;250;1;$800;$850;650;0;500;6
8;2;2;;500;1;$900;$950;750;0;1000;6
8;3;0;;60;1;$450;$500;300;0;120;6
8;3;0;;100;1;$550;$600;400;0;200;6
8;3;0;;250;1;$650;$700;500;0;500;6
8;3;0;;500;1;$750;$800;600;0;1000;6
8;3;0;;60;1;$500;$600;0;1;;
8;3;0;;100;1;$600;$700;0;1;;
8;3;0;;250;1;$700;$800;0;1;;
8;3;0;;500;1;$800;$900;0;1;;
8;2;2;;60;1;$650;$750;;1;;
8;2;2;;100;1;$750;$850;;1;;
8;2;2;;250;1;$850;$950;;1;;
8;2;2;;500;1;$950;$1.050;;1;;
8;1;1;;1000;1;$1.000;$1.100;;0;;
9;2;2;;60;1;$600;$650;450;0;120;6
9;2;2;;100;1;$700;$750;550;0;200;6
9;2;2;;250;1;$800;$850;650;0;500;6
9;2;2;;500;1;$900;$950;750;0;1000;6
9;3;0;;60;1;$450;$500;300;0;120;6
9;3;0;;100;1;$550;$600;400;0;200;6
9;3;0;;250;1;$650;$700;500;0;500;6
9;3;0;;500;1;$750;$800;600;0;1000;6
9;3;0;;60;1;$500;$600;0;1;;
9;3;0;;100;1;$600;$700;0;1;;
9;3;0;;250;1;$700;$800;0;1;;
9;3;0;;500;1;$800;$900;0;1;;
9;2;2;;60;1;$650;$750;;1;;
9;2;2;;100;1;$750;$850;;1;;
9;2;2;;250;1;$850;$950;;1;;
9;2;2;;500;1;$950;$1.050;;1;;
9;1;1;;1000;1;$1.000;$1.100;;0;;
10;2;2;;60;1;$600;$650;450;0;120;6
10;2;2;;100;1;$700;$750;550;0;200;6
10;2;2;;250;1;$800;$850;650;0;500;6
10;2;2;;500;1;$900;$950;750;0;1000;6
10;3;0;;60;1;$450;$500;300;0;120;6
10;3;0;;100;1;$550;$600;400;0;200;6
10;3;0;;250;1;$650;$700;500;0;500;6
10;3;0;;500;1;$750;$800;600;0;1000;6
10;3;0;;60;1;$500;$600;0;1;;
10;3;0;;100;1;$600;$700;0;1;;
10;3;0;;250;1;$700;$800;0;1;;
10;3;0;;500;1;$800;$900;0;1;;
10;2;2;;60;1;$650;$750;;1;;
10;2;2;;100;1;$750;$850;;1;;
10;2;2;;250;1;$850;$950;;1;;
10;2;2;;500;1;$950;$1.050;;1;;
10;1;1;;1000;1;$1.000;$1.100;;0;;
11;2;1;;60;1;$600;$650;450;0;120;6
11;2;1;;100;1;$700;$750;550;0;200;6
11;2;1;;250;1;$800;$850;650;0;500;6
11;2;1;;500;1;$900;$950;750;0;1000;6
11;3;0;;60;1;$450;$500;300;0;120;6
11;3;0;;100;1;$550;$600;400;0;200;6
11;3;0;;250;1;$650;$700;500;0;500;6
11;3;0;;500;1;$750;$800;600;0;1000;6
11;3;0;;60;1;$500;$600;0;1;;
11;3;0;;100;1;$600;$700;0;1;;
11;3;0;;250;1;$700;$800;0;1;;
11;3;0;;500;1;$800;$900;0;1;;
11;2;1;;60;1;$700;$750;;1;;
11;2;1;;100;1;$800;$850;;1;;
11;2;1;;250;1;$900;$950;;1;;
11;2;1;;500;1;$1.000;$1.050;;1;;
12;2;2;;60;1;$600;$650;450;0;120;6
12;2;2;;100;1;$700;$750;550;0;200;6
12;2;2;;250;1;$800;$850;650;0;500;6
12;2;2;;500;1;$900;$950;750;0;1000;6
12;3;0;;60;1;$450;$500;300;0;120;6
12;3;0;;100;1;$550;$600;400;0;200;6
12;3;0;;250;1;$650;$700;500;0;500;6
12;3;0;;500;1;$750;$800;600;0;1000;6
12;3;0;;60;1;$500;$600;0;1;;
12;3;0;;100;1;$600;$700;0;1;;
12;3;0;;250;1;$700;$800;0;1;;
12;3;0;;500;1;$800;$900;0;1;;
12;2;2;;60;1;$650;$750;;1;;
12;2;2;;100;1;$750;$850;;1;;
12;2;2;;250;1;$850;$950;;1;;
12;2;2;;500;1;$950;$1.050;;1;;
12;1;1;;1000;1;$1.000;$1.100;;0;;
13;2;1;;60;1;$600;$650;450;0;120;6
13;2;1;;100;1;$700;$750;550;0;200;6
13;2;1;;250;1;$800;$850;650;0;500;6
13;2;1;;500;1;$900;$950;750;0;1000;6
13;3;0;;60;1;$450;$500;300;0;120;6
13;3;0;;100;1;$550;$600;400;0;200;6
13;3;0;;250;1;$650;$700;500;0;500;6
13;3;0;;500;1;$750;$800;600;0;1000;6
13;3;0;;60;1;$500;$600;0;1;;
13;3;0;;100;1;$600;$700;0;1;;
13;3;0;;250;1;$700;$800;0;1;;
13;3;0;;500;1;$800;$900;0;1;;
13;2;1;;60;1;$650;$750;;1;;
13;2;1;;100;1;$750;$850;;1;;
13;2;1;;250;1;$850;$950;;1;;
13;2;1;;500;1;$950;$1.050;;1;;
13;1;1;;1000;1;$1.000;$1.100;;0;;
14;2;1;;60;1;$600;$650;450;0;120;6
14;2;1;;100;1;$700;$750;550;0;200;6
14;2;1;;250;1;$800;$850;650;0;500;6
14;2;1;;500;1;$900;$950;750;0;1000;6
14;3;0;;60;1;$450;$500;300;0;120;6
14;3;0;;100;1;$550;$600;400;0;200;6
14;3;0;;250;1;$650;$700;500;0;500;6
14;3;0;;500;1;$750;$800;600;0;1000;6
14;3;0;;60;1;$500;$600;0;1;;
14;3;0;;100;1;$600;$700;0;1;;
14;3;0;;250;1;$700;$800;0;1;;
14;3;0;;500;1;$800;$900;0;1;;
14;2;1;;60;1;$650;$750;;1;;
14;2;1;;100;1;$750;$850;;1;;
14;2;1;;250;1;$850;$950;;1;;
14;2;1;;500;1;$950;$1.050;;1;;
14;1;1;;1000;1;$1.000;$1.100;;0;;
15;2;2;;60;1;$600;$650;450;0;120;6
15;2;2;;100;1;$700;$750;550;0;200;6
15;2;2;;250;1;$800;$850;650;0;500;6
15;2;2;;500;1;$900;$950;750;0;1000;6
15;3;0;;60;1;$450;$500;300;0;120;6
15;3;0;;100;1;$550;$600;400;0;200;6
15;3;0;;250;1;$650;$700;500;0;500;6
15;3;0;;500;1;$750;$800;600;0;1000;6
15;3;0;;60;1;$500;$600;0;1;;
15;3;0;;100;1;$600;$700;0;1;;
15;3;0;;250;1;$700;$800;0;1;;
15;3;0;;500;1;$800;$900;0;1;;
15;2;2;;60;1;$650;$750;;1;;
15;2;2;;100;1;$750;$850;;1;;
15;2;2;;250;1;$850;$950;;1;;
15;2;2;;500;1;$950;$1.050;;1;;
15;1;1;;1000;1;$1.000;$1.100;;0;;
16;2;2;;60;1;$600;$650;450;0;120;6
16;2;2;;100;1;$700;$750;550;0;200;6
16;2;2;;250;1;$800;$850;650;0;500;6
16;2;2;;500;1;$900;$950;750;0;1000;6
16;3;0;;60;1;$450;$500;300;0;120;6
16;3;0;;100;1;$550;$600;400;0;200;6
16;3;0;;250;1;$650;$700;500;0;500;6
16;3;0;;500;1;$750;$800;600;0;1000;6
16;3;0;;60;1;$500;$600;0;1;;
16;3;0;;100;1;$600;$700;0;1;;
16;3;0;;250;1;$700;$800;0;1;;
16;3;0;;500;1;$800;$900;0;1;;
16;2;2;;60;1;$650;$750;;1;;
16;2;2;;100;1;$750;$850;;1;;
16;2;2;;250;1;$850;$950;;1;;
16;2;2;;500;1;$950;$1.050;;1;;
16;1;1;;1000;1;$1.000;$1.100;;0;;
17;2;2;;60;1;$600;$650;450;0;120;6
17;2;2;;100;1;$700;$750;550;0;200;6
17;2;2;;250;1;$800;$850;650;0;500;6
17;2;2;;500;1;$900;$950;750;0;1000;6
17;3;0;;60;1;$450;$500;300;0;120;6
17;3;0;;100;1;$550;$600;400;0;200;6
17;3;0;;250;1;$650;$700;500;0;500;6
17;3;0;;500;1;$750;$800;600;0;1000;6
17;3;0;;60;1;$500;$600;0;1;;
17;3;0;;100;1;$600;$700;0;1;;
17;3;0;;250;1;$700;$800;0;1;;
17;3;0;;500;1;$800;$900;0;1;;
17;2;2;;60;1;$650;$750;;1;;
17;2;2;;100;1;$750;$850;;1;;
17;2;2;;250;1;$850;$950;;1;;
17;2;2;;500;1;$950;$1.050;;1;;
17;1;1;;1000;1;$1.000;$1.100;;0;;
18;2;2;;60;1;$600;$650;450;0;120;6
18;2;2;;100;1;$700;$750;550;0;200;6
18;2;2;;250;1;$800;$850;650;0;500;6
18;2;2;;500;1;$900;$950;750;0;1000;6
18;3;0;;60;1;$450;$500;300;0;120;6
18;3;0;;100;1;$550;$600;400;0;200;6
18;3;0;;250;1;$650;$700;500;0;500;6
18;3;0;;500;1;$750;$800;600;0;1000;6
18;3;0;;60;1;$500;$600;0;1;;
18;3;0;;100;1;$600;$700;0;1;;
18;3;0;;250;1;$700;$800;0;1;;
18;3;0;;500;1;$800;$900;0;1;;
18;2;2;;60;1;$650;$750;;1;;
18;2;2;;100;1;$750;$850;;1;;
18;2;2;;250;1;$850;$950;;1;;
18;2;2;;500;1;$950;$1.050;;1;;
18;1;1;;1000;1;$1.000;$1.100;;0;;
19;3;0;;60;1;$450;$500;300;0;120;6
19;2;1;;60;1;$550;$600;400;0;120;6
20;3;0;;60;1;$450;$500;300;0;120;6
20;2;1;;60;1;$550;$600;400;0;120;6
21;3;0;;60;1;$450;$500;300;0;120;6
21;2;1;;60;1;$550;$600;400;0;120;6
22;2;2;;60;1;$600;$650;450;0;120;6
22;2;2;;100;1;$700;$750;550;0;200;6
22;2;2;;250;1;$800;$850;650;0;500;6
22;2;2;;500;1;$900;$950;750;0;1000;6
22;3;0;;60;1;$450;$500;300;0;120;6
22;3;0;;100;1;$550;$600;400;0;200;6
22;3;0;;250;1;$650;$700;500;0;500;6
22;3;0;;500;1;$750;$800;600;0;1000;6
22;3;0;;60;1;$500;$600;0;1;;
22;3;0;;100;1;$600;$700;0;1;;
22;3;0;;250;1;$700;$800;0;1;;
22;3;0;;500;1;$800;$900;0;1;;
22;2;2;;60;1;$650;$750;;1;;
22;2;2;;100;1;$750;$850;;1;;
22;2;2;;250;1;$850;$950;;1;;
22;2;2;;500;1;$950;$1.050;;1;;
22;1;1;;1000;1;$1.000;$1.100;;0;;
24;2;1;;60;1;$600;$650;450;0;120;6
24;2;1;;100;1;$700;$750;550;0;200;6
24;2;1;;250;1;$800;$850;650;0;500;6
24;3;0;;60;1;$450;$500;300;0;120;6
24;3;0;;100;1;$550;$600;400;0;200;6
24;3;0;;250;1;$650;$700;500;0;500;6
25;3;0;;60;1;$450;$500;300;0;120;6
25;2;1;;60;1;$550;$600;400;0;120;6
26;2;2;;60;1;$600;$650;450;0;120;6
26;2;2;;100;1;$700;$750;550;0;200;6
26;2;2;;250;1;$800;$850;650;0;500;6
26;3;0;;60;1;$450;$500;300;0;120;6
26;3;0;;100;1;$550;$600;400;0;200;6
26;3;0;;250;1;$650;$700;500;0;500;6
27;2;2;;60;1;$600;$650;450;0;120;6
27;2;2;;100;1;$700;$750;550;0;200;6
27;2;2;;250;1;$800;$850;650;0;500;6
27;2;2;;500;1;$900;$950;750;0;1000;6
27;3;0;;60;1;$450;$500;300;0;120;6
27;3;0;;100;1;$550;$600;400;0;200;6
27;3;0;;250;1;$650;$700;500;0;500;6
27;3;0;;500;1;$750;$800;600;0;1000;6
27;3;0;;60;1;$500;$600;0;1;;
27;3;0;;100;1;$600;$700;0;1;;
27;3;0;;250;1;$700;$800;0;1;;
27;3;0;;500;1;$800;$900;0;1;;
27;2;2;;60;1;$650;$750;;1;;
27;2;2;;100;1;$750;$850;;1;;
27;2;2;;250;1;$850;$950;;1;;
27;2;2;;500;1;$950;$1.050;;1;;
27;1;1;;1000;1;$1.000;$1.100;;0;;
28;2;2;;60;1;$600;$650;450;0;120;6
28;2;2;;100;1;$700;$750;550;0;200;6
28;2;2;;250;1;$800;$850;650;0;500;6
28;2;2;;500;1;$900;$950;750;0;1000;6
28;3;0;;60;1;$450;$500;300;0;120;6
28;3;0;;100;1;$550;$600;400;0;200;6
28;3;0;;250;1;$650;$700;500;0;500;6
28;3;0;;500;1;$750;$800;600;0;1000;6
28;3;0;;60;1;$500;$600;0;1;;
28;3;0;;100;1;$600;$700;0;1;;
28;3;0;;250;1;$700;$800;0;1;;
28;3;0;;500;1;$800;$900;0;1;;
28;2;2;;60;1;$650;$750;;1;;
28;2;2;;100;1;$750;$850;;1;;
28;2;2;;250;1;$850;$950;;1;;
28;2;2;;500;1;$950;$1.050;;1;;
28;1;1;;1000;1;$1.000;$1.100;;0;;
29;2;2;;60;1;$600;$650;450;0;120;6
